,Event,Date,Who,SeasonPro Implications
,Latest registration / transfer date for players for the current season,1 March,Club - FA FullTime,N/A
,Return of all trophies,1 March,Club,N/A
,Player re-registration start date,1 April,Club,N/A
,Club continuation notice,31 March,Club,Similar to Application form on website.
,Nomination of officers’ – deadline,30 April,League,N/A
,End of financial year,31 May,League,N/a
,Submission of proposed new rules – deadline,1 May,Club,Announcement - Planned? Publication Date. Planned Email?
,Existing teams can be re-registered for the following season,From 1 May – 15 May,Club,Checkbox for teams continuing.
,Exclusive Application for new teams from existing clubs to join,From 16 May – 31 May,Club,Add New Teams default - Pending
,Season Start (as per FA),1 June,League & Club,
,Online player registration / re-registration,From 1 June,Club - FA FullTime,
,Applications from new potential member clubs to join the league,From 1 June – 1 August,External Registration,New Club Registration Window
,General Teams: Latest date to withdraw / add team for next season,15th August,Club,Full CRUD Teams
,Players may be approached,As per FA Rule C2,Club,N/A
,Annual General Meeting – AGM,No later than end of July,League,N/A
,Minimum number of players for each team to be registered,By 10 August,Club,Team CRUD Ends
,Start of Playing Season,1st Sunday in September,Club,
,,…….,,
,End of Playing Season (League Games),Last Sunday in April,Club,
,Season End (as per FA),31 May,League & Club,
